subid,list,gender,hisp,ethnicity,english,numlang,parented,othered,premie,age,agegroup
12415_4,2,M,no,black/african american/indian,75,4,6,6,0,4.66,4
12615_1,1,F,yes,NA,50,2,4,3,0,3.88,3
12615_2,2,F,yes,NA,75,2,2,2,0,5.72,5,
12615_3,1,F,yes,NA,50,1,2,2,0,4.71,4,
12615_4,2,M,no,asian,10,2,6,4,0,4.54,4,
12615_5,1,F,no,white,100,2,5,4,0,4.92,4,
12715_1,1,M,yes,white/alaskan native,100,1,3,3,1,4.87,4,For this participant- got day wrong when entered into game. Put day in as the 7th when it was the 8th
12715_2,2,M,yes,white/alaskan native,100,1,3,3,1,4.87,4,For this participant- got day wrong when entered into game. Put day in as the 7th when it was the 8th
12815_1,1,M,no,asian,25,2,NA,NA,0,3.65,3,
121315_1,1,F,no,asian,10,2,6,4,0,3.65,3,
121315_2,2,M,no,asian,75,2,6,6,0,4.01,4,
121315_3,1,F,no,asian,75,2,6,6,0,6.67,6,
121315_4,2,F,no,asian,95,2,6,6,0,7.94,7,
121615_1,1,M,no,white,100,1,6,4,0,3.45,3,
121715_1,1,M,no,white,100,1,6,5,0,4.27,4,
121715_2,2,M,no,white,100,1,4,6,0,5.39,5,
121715_3,1,M,no,white/asian,100,1,4,4,0,4.87,4,
121815_1,1,F,no,white,100,1,6,6,0,5.24,5,
121815_2,2,M,yes,native hawaiian/pacific islander,95,1,3,3,0,7.38,7
121815_3,1,F,yes,asian,75,2,6,6,0,7.93,7
121815_4,2,M,no,asian,50,2,4,6,0,5.90,5
122015_1,1,F,no,other: south asian,100,2,6,6,0,5.64,5
122015_2,2,M,NA,NA,75,3,6,6,0,4.48,4
122015_3,1,F,no,black/african american,75,2,3,3,0,4.70,4
122015_4,2,M,no,white,100,1,4,6,0,7.64,7
122015_5,1,M,no,white,100,1,4,6,0,7.64,7
122015_6,2,F,no,white,95,2,6,6,0,6.15,6
122015_7,1,F,no,white,95,3,6,3,0,5.41,5
122015_8,2,F,no,asian,75,2,6,6,0,6.76,6
